[						
[						
N	N	14.00670	-0.500		3.25000e-01	7.11280e-01
H	H	1.00800	0.300		0.00000e+00	0.00000e+00
CA	CT_2	12.01100	0.140		3.50000e-01	2.76144e-01
HA	HC	1.00800	0.060		2.50000e-01	1.25520e-01
CB	CT	12.01100	-0.120		3.50000e-01	2.76144e-01
HB1	HC	1.00800	0.060		2.50000e-01	1.25520e-01
HB2	HC	1.00800	0.060		2.50000e-01	1.25520e-01
CG	CT	12.01100	-0.120		3.50000e-01	2.76144e-01
HG1	HC	1.00800	0.060		2.50000e-01	1.25520e-01
HG2	HC	1.00800	0.060		2.50000e-01	1.25520e-01
CD	CT	12.01100	-0.120		3.50000e-01	2.76144e-01
HD1	HC	1.00800	0.060		2.50000e-01	1.25520e-01
HD2	HC	1.00800	0.060		2.50000e-01	1.25520e-01
CE	CT_2	12.01100	0.080		3.50000e-01	2.76144e-01
HE1	HC	1.00800	0.060		2.50000e-01	1.25520e-01
HE2	HC	1.00800	0.060		2.50000e-01	1.25520e-01
NZ	N	14.00670	-0.500		3.25000e-01	7.11280e-01
HZ1	H	1.00800	0.300		0.00000e+00	0.00000e+00
C	C	12.01100	0.500		3.75000e-01	4.39320e-01
O	O	15.99940	-0.500		2.96000e-01	8.78640e-01
						
[						
[						
N	N	14.00670	-0.500		3.25000e-01	7.11280e-01
H	H	1.00800	0.300		0.00000e+00	0.00000e+00
CA	CT_2	12.01100	0.140		3.50000e-01	2.76144e-01
HA	HC	1.00800	0.060		2.50000e-01	1.25520e-01
CB	CT	12.01100	-0.120		3.50000e-01	2.76144e-01
HB1	HC	1.00800	0.060		2.50000e-01	1.25520e-01
HB2	HC	1.00800	0.060		2.50000e-01	1.25520e-01
CG	C	12.01100	0.500		3.75000e-01	4.39320e-01
OD1	O	15.99940	-0.500		2.96000e-01	8.78640e-01
C	C	12.01100	0.500		3.75000e-01	4.39320e-01
O	O	15.99940	-0.500		2.96000e-01	8.78640e-01
